dataset,sample_idx,image_path,mask_path,dice,miou,pa,image_shape,pred_mean_area,pred_total_area,pred_count,pred_mean_perimeter,pred_mean_eccentricity,pred_mean_form_factor,pred_mean_aspect_ratio,pred_mean_solidity,gt_mean_area,gt_total_area,gt_count,gt_mean_perimeter,gt_mean_eccentricity,gt_mean_form_factor,gt_mean_aspect_ratio,gt_mean_solidity
8698d4rk657i8N07u781_3D,155,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_131_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_131_0-336_0-357.tiff,0.178142163512335,0.09778049634966401,0.6556956115779645,"(336, 357)",20.96788990825688,41139.0,1962,16.244000524804193,0.7370401212018427,3.740158511308967,2.5350964261954014,0.8287462942754968,325.4642857142857,9113.0,28,65.04337246160257,0.6494346564229431,0.9336091116703406,1.4988765657936172,0.932204878629952
8698d4rk657i8N07u781_3D,156,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_138_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_138_0-336_0-357.tiff,0.19414118654193752,0.10750629291307189,0.6541616646658663,"(336, 357)",21.34015345268542,41720.0,1955,16.45591604200715,0.7312824957054589,3.851931012242479,2.4223291842007306,0.8325171217048604,348.5,9758.0,28,71.04424341223256,0.6930989328535622,0.857315119867519,1.636349399654837,0.9294318486529177
8698d4rk657i8N07u781_3D,157,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_142_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_142_0-336_0-357.tiff,0.20556736978742904,0.11455842161098057,0.6543033880218754,"(336, 357)",20.874749498997996,41666.0,1996,16.061521612667764,0.7378314873410418,3.651383644418884,2.498484175543075,0.8288553156184996,319.1212121212121,10531.0,33,65.20862189405184,0.6789901914426425,0.890862075139068,1.6331393287690694,0.9341878626934469
8698d4rk657i8N07u781_3D,158,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_157_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_157_0-336_0-357.tiff,0.21785994986305887,0.12224625660746695,0.6515606242496998,"(336, 357)",22.25997899159664,42383.0,1904,16.920477958037644,0.7324229794993491,3.907492478970662,2.482730035539055,0.8229784077797696,315.85714285714283,11055.0,35,64.64354665172857,0.6581074511905615,0.8686868772863894,1.6696070448428504,0.9209784905466266
8698d4rk657i8N07u781_3D,159,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_162_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_162_0-336_0-357.tiff,0.20216551541926575,0.11244945915213173,0.65046852074163,"(336, 357)",20.87431421446384,41853.0,2005,16.118026339128335,0.7277883702496979,3.4505874494054796,2.448676324308307,0.8270136967839562,356.6,10698.0,30,77.60149826968905,0.7112964394946893,0.7799083194030196,1.887754520265099,0.8915512900631041
8698d4rk657i8N07u781_3D,160,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_179_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_179_0-336_0-357.tiff,0.1887722677094122,0.10422337531676967,0.6488345338135254,"(336, 357)",20.754726368159204,41717.0,2010,16.090371549535156,0.7429403491744356,3.8439784183466483,2.5492529763319793,0.8290824061206982,268.63157894736844,10208.0,38,59.57561513724783,0.6746583721648364,0.9394696327947212,1.6487345929021096,0.9268732174728964
8698d4rk657i8N07u781_3D,161,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_197_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_197_0-336_0-357.tiff,0.15202409104565526,0.08226519097330887,0.650218420701614,"(336, 357)",20.652673663168414,41326.0,2001,16.23100793920698,0.7256202768360044,3.398055922351438,2.5388180058731287,0.83238745779145,254.78125,8153.0,32,57.92757707363774,0.603730189151902,0.9718411859916917,1.3822251421596983,0.9449976946925733
8698d4rk657i8N07u781_3D,162,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_216_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_216_0-336_0-357.tiff,0.12519121844120415,0.0667754598185777,0.6472088835534213,"(336, 357)",21.637770897832816,41934.0,1938,16.806952684907706,0.7337308394252517,3.59744307640311,2.4872836725428296,0.832237793671148,257.6,6440.0,25,58.728291449997435,0.644970384218047,1.0053490424031193,1.5523769487175496,0.9385334248909971
8698d4rk657i8N07u781_3D,163,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_241_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_241_0-336_0-357.tiff,0.11318349834063,0.059986489550551976,0.6519774576497266,"(336, 357)",21.823013415892675,42293.0,1938,16.58800433754215,0.7202340486427856,3.680370153015806,2.458626567322516,0.8299914243925096,341.5,4781.0,14,66.55142234533173,0.6127468211145074,0.9099788718692772,1.4045204455660916,0.950153889637415
8698d4rk657i8N07u781_3D,164,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/images/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_249_0-336_0-357.tiff,../../data/cem_mitolab/8698d4rk657i8N07u781_3D/masks/8698d4rk657i8N07u781_3D-ROI-cell9-LOC-1_249_0-336_0-357.tiff,0.12880842241328744,0.06883764547400285,0.6357543017206883,"(336, 357)",24.36993899057127,43939.0,1803,18.08346338125702,0.7285010487862507,3.5334939344372165,2.4758323225860397,0.8326244186073669,414.2,6213.0,15,84.44691432749785,0.6060456237372254,0.829849585605379,1.697738596376308,0.9216064690442932
